ID_Transacao,Data_Hora_Transacao,Valor_Reembolso,Quantidade_Combustivel,Preco_Combustivel,ID_Veiculo,Consumo_Medio_Veiculo,Distancia_Percorrida,ID_Condutor,Num_Reembolsos_Recentes,Probabilidade_Fraude
30,2024-01-03 23:20:24,"143,24","20,6","6,96",131,"8,1","166,7",1020,3,0
31,2024-01-04 06:25:43,"200,55","30,9","6,5",150,"10,9","336,3",1024,3,0
32,2024-01-03 18:40:52,"221,27","29,6","7,48",103,"8,6","254,4",1057,2,0
33,2024-01-04 05:18:23,"292,84","50,4","5,81",119,"8,7","438,5",1036,0,0
34,2024-01-04 04:12:24,"343,45","46,7","7,35",184,"9,9","462,6",1048,2,0
35,2024-01-04 08:47:31,"476,98","65,4","7,29",166,"12,4","498,6",1076,9,1
36,2024-01-04 00:49:48,"83,39","16,6","5,03",188,"11,7","119,2",1014,6,1
37,2024-01-03 21:03:41,"316,09","51,6","6,13",167,"8,5","438,3",1027,2,0
38,2024-01-04 14:55:08,"85,31","11,5","7,44",161,"14,8","169,7",1066,0,0
39,2024-01-03 22:38:16,"117,02","22,2","5,26",157,"14,2","315,9",1086,2,0
40,2024-01-04 10:56:42,"180,44","28,3","6,37",146,"9,8","277,6",1003,4,0
41,2024-01-04 23:27:03,"79,14","10,6","7,45",174,"8,9","58,1",1046,7,1
42,2024-01-04 06:00:02,"334,51","52,3","6,39",179,"14,6","469,7",1049,7,1
43,2024-01-04 07:19:17,"41,61","7,6","5,47",158,"11,2","85,2",1059,1,0
44,2024-01-05 03:15:23,"370,69","57,4","6,46",199,"10,2","359,7",1061,7,1
45,2024-01-04 20:29:05,"194,93","35,4","5,51",105,"11,4","403,3",1066,3,0
46,2024-01-05 07:38:06,"191,77","30,4","6,3",194,"13,4","407,9",1071,4,0
47,2024-01-04 18:50:20,"62,62","12,1","5,19",139,"9,2",111,1042,6,"0,35"
48,2024-01-05 08:57:41,"122,14","18,8","6,51",176,"13,4","251,4",1088,1,0
49,2024-01-04 22:23:06,"201,66","32,1","6,29",122,"13,2","423,2",1057,0,0
50,2024-01-05 07:10:47,"108,09","15,8","6,85",151,"11,8","186,2",1051,0,0
51,2024-01-05 00:17:21,"197,81","30,1","6,58",103,"14,1","260,5",1075,6,1
52,2024-01-05 19:35:49,"123,68","19,4","6,37",136,"8,9","172,8",1068,0,0
53,2024-01-05 09:09:41,"231,78","34,5","6,72",141,"12,2","258,6",1096,8,1
54,2024-01-05 19:39:32,"353,19","65,9","5,36",143,"11,1","449,5",1045,7,1
55,2024-01-05 22:08:39,"150,33","23,2","6,49",196,11,"254,8",1024,1,0
56,2024-01-05 10:04:47,"166,34","30,6","5,43",141,"9,8","300,2",1024,1,0
57,2024-01-06 00:59:37,"260,11","35,6","7,31",128,"10,6","231,8",1034,6,1
58,2024-01-06 05:46:38,"245,78","47,5","5,17",118,"8,8","257,1",1060,5,"0,922"
59,2024-01-06 08:05:52,"57,34","9,4","6,08",183,"9,8","56,8",1014,6,1
60,2024-01-06 02:43:04,"120,98","17,9","6,74",131,"9,9","177,7",1089,3,0
61,2024-01-06 01:08:55,"116,61",19,"6,15",143,13,"246,5",1073,3,0
62,2024-01-05 18:21:00,"343,69","65,7","5,23",154,"8,3","335,2",1087,6,1
63,2024-01-06 06:11:56,"127,85",20,"6,38",179,"12,6","252,5",1034,4,0
64,2024-01-06 15:25:56,"140,34","21,3","6,6",104,"9,5",202,1028,3,0
65,2024-01-06 16:55:48,"176,55","26,1","6,76",145,"8,6","224,6",1037,0,0
66,2024-01-06 17:13:44,"93,35","15,7","5,93",175,"10,1",159,1068,2,0
67,2024-01-06 11:06:21,"311,15","48,5","6,41",144,"9,6",466,1023,3,0
68,2024-01-06 11:41:52,"146,71","23,9","6,13",120,"11,9","284,8",1018,4,0
69,2024-01-06 07:40:30,"35,63","5,3","6,68",177,"10,5",56,1045,2,0
70,2024-01-06 17:31:22,"41,76","6,5","6,46",121,"14,8","58,8",1048,8,1
71,2024-01-06 08:24:51,"209,39","33,2","6,31",129,"14,7","487,8",1043,0,0
72,2024-01-07 01:24:15,"75,79","13,5","5,62",122,"11,1","149,7",1072,2,0
73,2024-01-06 18:15:01,"151,96","30,3","5,01",104,"13,6","412,5",1025,1,0
74,2024-01-06 20:22:24,"51,18","9,4","5,44",162,"8,1","76,2",1024,3,0
75,2024-01-07 12:01:38,"338,84","64,1","5,29",192,"11,8","464,5",1034,6,1
76,2024-01-07 16:17:01,"205,62","33,6","6,12",158,"13,2","443,5",1035,4,0
77,2024-01-06 21:41:21,"343,37","52,6","6,53",193,"9,5",307,1013,6,1
78,2024-01-07 00:19:47,"35,55","6,4","5,53",181,"8,4",54,1055,3,0
79,2024-01-07 16:28:16,"134,08","18,2","7,35",151,"9,1",166,1005,5,0
80,2024-01-07 11:28:01,"105,42",21,"5,02",164,"11,1","233,1",1031,1,0
81,2024-01-07 04:49:02,"154,87","22,3","6,93",138,"11,5",257,1025,1,0
82,2024-01-07 14:50:05,"112,81","17,2","6,56",180,"10,7",184,1014,0,0
83,2024-01-07 20:19:25,"34,62","5,8","5,93",102,"11,1","64,8",1048,0,0
84,2024-01-08 00:56:08,"143,28","27,9","5,13",141,"11,3","315,6",1094,0,0
85,2024-01-07 23:21:54,"228,09","34,7","6,57",170,"13,4","285,9",1055,7,1
86,2024-01-07 22:54:54,"121,53","20,4","5,96",126,"8,7","177,4",1036,1,0
87,2024-01-07 14:07:57,"36,75",5,"7,34",127,"13,4","67,1",1052,1,0
88,2024-01-08 08:38:11,"246,86","38,9","6,35",153,"12,8","497,6",1057,1,0
89,2024-01-08 11:50:51,"148,61","20,2","7,35",194,"13,2","266,9",1082,1,0
90,2024-01-07 19:39:33,269,"48,5","5,55",114,"13,1","390,2",1077,11,1
91,2024-01-08 10:07:38,"152,77","22,4","6,81",152,"11,3","253,5",1035,2,0
92,2024-01-08 00:01:55,"47,78","7,3","6,54",171,"9,5","69,4",1010,3,0
93,2024-01-08 11:22:31,"178,81","26,1","6,85",169,"11,8","189,3",1026,8,1
94,2024-01-08 11:26:36,"73,11","13,2","5,54",191,"14,7",194,1001,3,0
95,2024-01-08 07:56:52,"235,19","35,3","6,66",103,"12,1","427,3",1021,4,0
96,2024-01-08 23:04:34,"265,74","42,5","6,25",193,"8,1","344,4",1065,1,0
97,2024-01-08 11:14:32,"142,02","20,7","6,86",116,"8,4","173,9",1083,4,0
98,2024-01-08 20:17:35,"306,52","52,7","5,82",133,15,"485,5",1016,7,1
99,2024-01-08 12:22:26,"165,61","22,9","7,23",105,"8,5","194,7",1003,2,0
100,2024-01-08 20:40:29,"313,35","60,1","5,21",135,"8,3","499,2",1013,3,0
101,2024-01-09 08:57:49,"542,1","77,2","7,02",198,"10,5","498,3",1006,5,1
102,2024-01-09 07:23:25,"65,7","9,2","7,15",138,"14,8",136,1078,0,0
103,2024-01-09 01:00:06,"131,62","18,7","7,04",179,"10,2","190,7",1093,4,0
104,2024-01-08 22:52:05,"154,81","24,7","6,28",165,"10,9","268,7",1015,2,0
105,2024-01-09 06:50:58,"279,21","45,8","6,1",107,"12,4","348,8",1065,11,1
106,2024-01-09 22:01:55,"262,7","35,1","7,49",114,"8,2","287,6",1018,1,0
107,2024-01-09 16:32:38,"189,38",34,"5,57",162,"14,3","486,2",1000,0,0
108,2024-01-09 13:38:34,"206,37","32,4","6,37",190,"11,6","375,8",1030,3,0
109,2024-01-10 03:10:54,"139,86","20,9","6,68",179,"11,3","145,4",1003,7,1
110,2024-01-10 05:37:26,"46,91",7,"6,75",164,14,"97,3",1090,5,0
111,2024-01-10 08:51:52,"134,86","24,5","5,51",158,"14,7","359,8",1057,7,"0,282"
112,2024-01-10 04:46:25,"73,11",11,"6,63",109,11,"121,3",1055,2,0
113,2024-01-09 16:03:25,"309,97",44,"7,05",106,"9,2","404,5",1052,1,0
114,2024-01-09 21:39:28,"71,15","13,9","5,13",173,"13,7",190,1088,3,0
115,2024-01-10 12:16:51,"132,86","18,2","7,28",175,"10,8","197,1",1085,3,0
116,2024-01-09 20:45:19,"31,24","6,2","5,07",180,"14,5","54,9",1042,9,1
117,2024-01-10 18:21:48,"147,45",25,"5,89",111,"14,6","365,5",1073,2,0
118,2024-01-10 05:44:14,"94,13","18,7","5,04",178,"8,8",101,1096,6,1
119,2024-01-10 14:42:50,"140,45","27,1","5,19",145,"14,7","397,8",1048,4,0
120,2024-01-11 00:51:56,"303,19","41,6","7,28",131,"10,6","271,3",1059,9,1
121,2024-01-10 05:34:27,"189,85","32,2","5,89",131,"12,5","402,9",1093,2,0
122,2024-01-10 05:32:33,"231,17","38,1","6,06",189,"8,2","312,8",1093,2,0
123,2024-01-10 13:49:15,"33,98","6,1","5,54",177,"14,2","87,1",1015,5,0
124,2024-01-10 23:12:42,"204,82","31,6","6,49",189,"12,5","394,5",1072,4,0
125,2024-01-11 00:52:11,"42,26","6,5","6,49",160,"12,5","81,4",1080,3,0
126,2024-01-11 03:52:53,"110,06","18,6","5,93",168,"14,3","265,4",1098,1,0
127,2024-01-10 19:40:36,"64,13",11,"5,83",160,"11,6","127,6",1059,5,0
128,2024-01-11 14:47:21,"257,05","35,7","7,21",145,"10,9","388,6",1046,2,0
129,2024-01-11 14:16:24,"194,52","32,6","5,96",167,"14,1","460,2",1014,0,0
130,2024-01-11 11:41:48,"141,31","22,7","6,23",191,"13,2","299,4",1062,2,0
131,2024-01-11 16:37:48,"112,32","19,7","5,71",154,"14,6","287,2",1027,3,0
132,2024-01-11 09:11:10,188,27,"6,97",100,"14,6","393,8",1019,4,0
133,2024-01-11 17:07:33,"29,28","4,9","5,99",176,"10,7","52,3",1096,3,0
134,2024-01-11 20:50:46,"261,95","41,7","6,28",166,"11,1",463,1062,1,0
135,2024-01-12 03:59:06,"79,8","14,2","5,63",148,"9,8","138,9",1032,0,0
136,2024-01-12 04:04:12,"292,22","39,1","7,47",124,"12,6","492,9",1035,1,0
137,2024-01-11 15:08:11,"206,12",36,"5,73",115,"10,6","381,3",1012,2,0
138,2024-01-11 22:52:46,"204,51","29,5","6,93",184,"13,5","398,4",1061,1,0
139,2024-01-12 06:23:35,"383,21","63,1","6,07",112,"8,9","345,3",1067,6,1
140,2024-01-12 02:15:17,"267,63","48,5","5,52",151,"8,8","262,2",1022,7,1
141,2024-01-12 05:53:50,"228,77","32,7",7,135,"9,4","307,2",1071,2,0
142,2024-01-11 18:50:33,"78,21","13,4","5,83",171,"8,6","70,9",1012,8,1
143,2024-01-12 15:08:12,"192,56","26,9","7,16",143,"12,3","330,8",1087,3,0
144,2024-01-12 04:57:38,"268,68","36,9","7,29",182,9,"331,7",1039,6,"0,408"
145,2024-01-12 13:10:34,"576,61","80,6","7,15",146,"9,1",451,1029,6,1
146,2024-01-12 13:20:39,"283,75","55,7","5,09",179,"8,1","277,5",1093,5,"0,825"
147,2024-01-12 09:18:42,"43,73","6,3","6,97",175,"13,5","84,7",1024,0,0
148,2024-01-12 10:05:25,"134,5","22,3","6,03",119,"13,7","187,8",1096,7,1
149,2024-01-12 14:09:32,"272,21","37,9","7,18",117,"9,1",345,1072,3,0
150,2024-01-13 05:47:03,"78,73","11,9","6,59",153,"13,2","157,7",1025,4,0
151,2024-01-12 14:55:54,"113,41",16,"7,08",111,11,"176,2",1023,3,0
152,2024-01-12 18:30:12,"270,1","43,2","6,25",124,"9,7","419,2",1096,3,0
153,2024-01-13 02:31:28,"161,28","25,4","6,34",159,"12,3","312,9",1038,3,0
154,2024-01-12 22:39:52,"162,43","30,3","5,36",174,"9,2","278,8",1088,3,0
155,2024-01-13 02:14:45,"101,16","14,5","6,96",185,"13,3","193,3",1078,1,0
156,2024-01-13 14:17:17,"276,19","45,7","6,05",133,"8,3","378,9",1060,4,0
157,2024-01-13 14:35:57,"76,32","12,2","6,25",112,"14,7","179,5",1048,1,0
158,2024-01-13 01:15:50,"312,54","44,9","6,96",137,"8,5","381,7",1040,0,0
159,2024-01-13 16:29:40,"43,78","6,7","6,5",111,"12,1","81,5",1069,6,"0,245"
160,2024-01-13 05:40:27,"168,85","30,7","5,5",135,"14,3",439,1019,1,0
161,2024-01-13 20:59:56,"219,84","33,9","6,48",127,"8,1","274,8",1043,4,0
162,2024-01-13 12:48:12,"210,65",35,"6,02",190,"11,5","247,3",1015,8,1
163,2024-01-13 10:04:12,"190,98",31,"6,17",138,"10,5",325,1020,5,0
164,2024-01-13 11:24:20,"138,65","27,3","5,07",176,"12,1","330,9",1014,3,0
165,2024-01-13 15:57:27,"63,02","11,4","5,53",142,"9,6","109,4",1038,6,"0,393"
166,2024-01-14 08:24:50,"261,73","45,9","5,7",190,"8,5","390,3",1041,4,0
167,2024-01-14 01:30:47,"95,25",14,"6,78",130,"12,4","174,2",1060,3,0
168,2024-01-14 14:06:41,"210,98","41,9","5,03",101,"10,9","457,2",1003,1,0
169,2024-01-14 12:29:07,"202,93","33,7","6,02",181,"12,4",418,1023,1,0
170,2024-01-14 16:28:10,"158,36","21,7","7,31",189,"9,5","205,8",1002,4,0
171,2024-01-14 14:17:04,"209,93","39,8","5,28",141,"10,4","413,5",1000,2,0
172,2024-01-14 15:10:34,"111,21","17,7","6,29",130,"11,9","210,4",1093,2,0
173,2024-01-14 15:46:35,"54,5","7,8","6,97",160,"12,2","95,4",1012,3,0
174,2024-01-14 15:36:02,"545,48","74,1","7,36",155,"10,6","482,8",1053,7,1
175,2024-01-14 23:43:21,"236,12","34,4","6,87",185,10,"343,7",1081,1,0
176,2024-01-15 07:26:39,"175,29","25,8","6,8",199,"9,9","255,2",1039,2,0
177,2024-01-15 00:48:30,"175,98","24,9","7,07",182,"9,2",229,1010,3,0
178,2024-01-15 06:08:05,"116,52",19,"6,12",113,"10,3","196,1",1041,3,0
179,2024-01-14 20:23:41,"596,66","85,1","7,01",113,"9,4","491,7",1092,7,1
180,2024-01-15 10:18:38,"44,78","8,9","5,02",128,"12,4","110,6",1003,1,0
181,2024-01-15 17:15:52,"116,78",16,"7,31",180,12,"191,7",1024,2,0
182,2024-01-15 02:44:22,"153,32","25,1","6,11",149,"10,7","268,5",1099,3,0
183,2024-01-14 21:22:49,"164,21","25,7","6,38",149,"10,3","265,1",1035,3,0
184,2024-01-15 09:42:08,"247,98",44,"5,64",162,"9,7","262,1",1063,8,1
185,2024-01-15 02:51:27,"123,17",18,"6,86",172,"11,7","129,1",1043,9,1
186,2024-01-15 18:06:04,"41,52",8,"5,19",164,"14,4","115,2",1039,2,0
187,2024-01-15 17:26:31,"92,33","12,9","7,18",167,"12,8","164,6",1091,3,0
188,2024-01-15 20:25:23,"402,21","56,9","7,07",170,"13,2","461,5",1044,5,1
189,2024-01-15 15:26:02,"40,51","7,3","5,54",110,"13,8","100,9",1007,2,0
190,2024-01-16 03:39:37,"261,28","37,2","7,02",113,"10,5","390,8",1084,2,0
191,2024-01-16 07:21:40,"324,35","46,5","6,97",182,"8,4","390,9",1034,3,0
192,2024-01-16 04:14:44,"219,9","33,4","6,58",102,"12,4","414,4",1043,1,0
193,2024-01-15 18:58:20,"286,3","48,3","5,93",107,"9,3",449,1017,1,0
194,2024-01-16 00:19:03,"79,71",14,"5,68",192,12,"168,4",1046,1,0
195,2024-01-16 05:25:48,"63,87","11,4","5,58",142,"13,2","151,1",1024,4,0
196,2024-01-16 15:47:24,"111,49","19,2","5,8",108,"13,5","259,5",1040,2,0
197,2024-01-16 13:14:13,"121,69","16,8","7,26",118,"10,1","169,3",1004,2,0
198,2024-01-16 18:51:33,"276,94","53,4","5,19",111,"11,6","380,4",1063,8,1
199,2024-01-16 12:04:08,"314,45","44,5","7,07",126,"12,3","336,2",1061,5,"0,682"
200,2024-01-17 02:39:22,"309,35","52,7","5,87",157,"13,7","443,7",1071,8,1
201,2024-01-16 12:23:20,"41,31","6,6","6,3",124,"13,3","87,2",1086,2,0
202,2024-01-16 14:55:03,"216,64",31,"6,99",144,"14,9","461,8",1002,1,0
203,2024-01-16 21:26:55,"263,61","36,6","7,21",147,"8,1",182,1036,8,1
204,2024-01-17 11:31:40,"142,96","24,4","5,86",149,"11,1","270,8",1094,2,0
205,2024-01-17 03:45:51,"155,26","25,2","6,15",180,"9,8","247,4",1092,2,0
206,2024-01-16 19:36:25,"437,92","72,5","6,04",143,"8,8","392,1",1040,6,1
207,2024-01-17 06:54:38,"83,52","16,6","5,03",158,"14,4","239,1",1019,1,0
208,2024-01-16 19:41:08,"295,52","51,5","5,74",132,15,"474,6",1066,6,1
209,2024-01-17 12:21:36,"301,61",49,"6,15",177,"9,3","456,1",1086,2,0
210,2024-01-17 18:35:18,"321,48","53,3","6,03",127,"8,3","442,5",1039,1,0
211,2024-01-17 10:02:59,"56,39","8,3","6,8",117,"9,9","82,1",1084,4,0
212,2024-01-17 05:23:46,"187,61","31,5","5,96",154,"13,8","434,4",1076,3,0
213,2024-01-17 04:51:56,"247,38","39,8","6,22",132,"10,1","401,7",1007,0,0
214,2024-01-18 00:34:24,"69,8","11,5","6,07",114,"8,4","96,6",1004,3,0
215,2024-01-18 06:59:07,"80,16","11,7","6,85",160,"8,4","98,3",1024,1,0
216,2024-01-17 11:57:34,"101,15","14,1","7,16",110,11,"95,5",1038,7,1
217,2024-01-18 10:57:39,"24,05","3,8","6,33",135,"14,5","55,1",1036,1,0
218,2024-01-18 12:30:32,"206,94","29,7","6,97",114,10,"296,9",1004,4,0
219,2024-01-18 10:50:38,"254,65","44,4","5,74",152,11,488,1007,0,0
220,2024-01-17 19:57:23,"180,57","28,4","6,35",161,"8,7","247,4",1003,2,0
221,2024-01-18 05:07:06,"149,46","25,5","5,86",147,"11,5","293,3",1040,1,0
222,2024-01-17 21:01:54,"227,37","37,6","6,04",193,"12,9","485,6",1059,1,0
223,2024-01-18 00:37:36,"113,7","16,6","6,83",114,"9,9","164,8",1053,1,0
224,2024-01-18 20:39:07,"506,1","70,3","7,2",162,"10,1","436,3",1021,5,"0,893"
225,2024-01-18 12:57:45,"112,83","21,3","5,3",186,"13,9","295,9",1077,3,0
226,2024-01-18 16:58:44,"405,5","61,5","6,59",142,"8,1","306,3",1018,6,1
227,2024-01-18 11:46:18,"105,63","16,4","6,46",149,"12,5","204,4",1076,2,0
228,2024-01-19 07:23:50,"148,55",28,"5,3",159,"10,8","302,7",1098,2,0
229,2024-01-19 02:12:32,"45,39","8,2","5,53",158,"10,1","82,9",1067,2,0
230,2024-01-18 19:35:35,"180,79","31,3","5,78",114,"12,6","394,1",1032,1,0
231,2024-01-18 17:37:44,"69,95","12,9","5,42",128,"13,8","178,1",1021,1,0
232,2024-01-19 03:50:51,"211,86","37,8","5,61",174,"11,9","449,4",1064,3,0
233,2024-01-18 21:12:49,"149,01","26,3","5,67",181,"8,2","215,5",1010,2,0
234,2024-01-19 15:59:18,"59,6","10,2","5,84",139,"11,2","114,3",1015,4,0
235,2024-01-18 20:53:46,"222,72","32,4","6,87",130,"11,2","363,1",1067,3,0
236,2024-01-19 06:56:23,"67,62","10,5","6,43",172,"11,8","124,1",1092,0,0
237,2024-01-19 05:48:08,"228,92","30,6","7,47",185,"12,7","389,2",1043,1,0
238,2024-01-19 10:06:41,"362,18",60,"6,04",110,"8,1","485,7",1087,3,0
239,2024-01-19 20:42:50,"239,78","34,9","6,88",180,"11,5","400,8",1008,2,0
240,2024-01-20 01:40:19,"35,66",5,"7,18",196,"12,1","60,1",1071,1,0
241,2024-01-19 19:15:31,"206,09","30,8","6,7",161,"10,4","319,9",1077,5,0
242,2024-01-19 11:11:45,"172,31","28,6","6,03",174,"12,7","362,9",1078,1,0
243,2024-01-19 22:48:56,"302,08","43,9","6,88",107,"9,6","421,5",1061,4,0
244,2024-01-19 17:00:35,"66,1",12,"5,51",150,"10,2","75,2",1085,8,1
245,2024-01-20 04:54:40,"105,31","18,1","5,82",156,"14,7",266,1014,3,0
246,2024-01-20 10:59:13,"178,18",28,"6,37",103,"10,4","290,9",1005,2,0
247,2024-01-19 19:32:32,"78,08","12,1","6,44",135,"10,4","126,1",1000,4,0
248,2024-01-19 21:52:17,"131,67",26,"5,06",118,"12,2","195,1",1019,10,1
249,2024-01-20 14:21:12,"123,38","16,8","7,36",123,"14,8","248,1",1035,0,0
250,2024-01-20 03:10:05,"192,2","28,5","6,74",140,"14,9","424,9",1001,1,0
251,2024-01-20 09:45:10,"241,45","38,7","6,24",148,"12,1","468,2",1069,1,0
252,2024-01-20 07:01:15,"304,93","41,6","7,33",181,8,"332,8",1001,3,0
253,2024-01-20 14:21:42,"97,13","15,9","6,1",196,"14,3","227,7",1002,1,0
254,2024-01-20 08:38:39,102,"13,7","7,45",145,12,"164,3",1006,3,0
255,2024-01-20 23:45:21,"291,49","46,4","6,28",135,"10,6",492,1083,1,0
256,2024-01-21 03:47:07,"188,75","35,7","5,29",109,"13,8","492,4",1063,3,0
257,2024-01-21 02:01:43,"298,28","43,2","6,91",177,"10,8","466,2",1040,3,0
258,2024-01-20 15:08:16,"536,6","80,1","6,7",106,"8,2","403,6",1053,7,1
259,2024-01-21 02:54:49,"99,45","14,4","6,93",111,"13,7","196,6",1040,1,0
260,2024-01-21 16:52:16,"261,24","35,4","7,38",185,"11,8","417,7",1004,0,0
261,2024-01-20 20:31:48,"156,15","22,5","6,94",190,"10,4",234,1088,1,0
262,2024-01-21 16:46:34,"131,27","20,1","6,53",147,"9,8",197,1081,1,0
263,2024-01-21 12:37:42,"225,44","31,6","7,14",136,"12,2","385,2",1062,5,0
264,2024-01-21 07:20:34,"98,17","14,7","6,68",174,"9,5","85,8",1000,7,1
265,2024-01-22 00:46:11,"68,38","11,4","6,02",135,"10,3","71,9",1024,6,1
266,2024-01-21 05:52:05,"145,12","20,1","7,21",159,"12,5","251,6",1080,2,0
267,2024-01-21 23:53:01,"97,91","17,6","5,55",176,"14,2","250,5",1045,4,0
268,2024-01-21 22:39:03,"262,89","38,7","6,79",195,"11,7",453,1014,4,0
269,2024-01-21 21:14:52,"57,82",8,"7,2",107,"13,3","106,8",1068,0,0
270,2024-01-21 18:52:23,"54,18","7,9","6,83",106,"13,3","105,5",1016,0,0
271,2024-01-21 15:19:51,"61,77","9,2","6,74",142,"12,7","116,4",1020,2,0
272,2024-01-22 08:24:25,"44,97","6,5","6,88",157,"9,7","63,4",1052,2,0
273,2024-01-22 00:06:23,"35,96","5,8","6,16",180,"14,1","82,3",1054,2,0
274,2024-01-22 08:33:07,"224,7","31,3","7,19",185,"11,1","346,9",1086,0,0
275,2024-01-22 17:03:54,"263,79","47,9","5,51",145,"8,3","244,2",1009,7,1
276,2024-01-22 11:36:57,"215,87","40,6","5,32",133,"9,7","393,6",1080,2,0
277,2024-01-22 20:40:33,"344,4","60,3","5,71",183,"13,4","496,7",1056,7,1
278,2024-01-22 14:22:30,"258,12","40,8","6,33",171,"8,5","346,6",1064,1,0
279,2024-01-22 17:30:46,"50,73","8,1","6,28",121,9,"72,7",1036,1,0
280,2024-01-22 12:12:21,"53,07","7,5","7,05",190,"12,9","97,1",1006,3,0
281,2024-01-22 13:22:10,"188,98","31,4","6,01",197,"14,2","446,5",1075,1,0
282,2024-01-22 12:16:23,"143,93","23,2","6,21",120,"12,4","287,4",1039,3,0
283,2024-01-23 10:23:09,"359,11","71,4","5,03",114,"9,6","421,2",1049,7,1
284,2024-01-23 03:10:03,"312,11","51,8","6,02",104,"8,4","435,5",1000,3,0
285,2024-01-22 16:48:15,"251,61",38,"6,62",116,"12,3","467,5",1019,1,0
286,2024-01-23 14:18:59,"289,89","57,5","5,04",171,"8,3","477,4",1030,1,0
287,2024-01-23 16:40:52,"138,89","24,4","5,7",118,"12,3","299,7",1067,2,0
288,2024-01-22 22:58:43,"117,01","21,2","5,52",104,"9,6","203,5",1089,1,0
289,2024-01-23 04:39:16,"172,19","33,8","5,1",122,"14,3","482,8",1011,1,0
290,2024-01-23 09:32:34,"162,57","26,2","6,2",182,"11,3","296,3",1021,3,0
291,2024-01-23 16:32:54,"44,79","8,2","5,45",113,"9,6","78,9",1000,2,0
292,2024-01-23 18:06:31,"166,21","24,2","6,86",109,14,"339,2",1000,2,0
293,2024-01-23 21:30:22,"228,49","32,1","7,12",130,"9,8","314,5",1002,1,0
294,2024-01-23 19:22:36,"285,32","44,9","6,36",112,"10,1","453,1",1075,5,0
295,2024-01-23 11:42:36,"302,1","40,6","7,45",121,"13,8","343,9",1020,6,1
296,2024-01-23 23:18:29,"124,46","20,3","6,13",136,"10,2","207,1",1012,1,0
297,2024-01-24 10:31:18,"279,32","44,5","6,28",138,"10,9","484,8",1060,7,"0,367"
298,2024-01-24 04:20:39,"294,99","39,5","7,47",109,"10,4","410,7",1012,0,0
299,2024-01-24 09:15:49,"211,6","37,9","5,58",130,"8,8","333,7",1081,5,0
300,2024-01-24 15:47:28,"161,21","21,9","7,36",142,"8,3","181,8",1032,0,0
301,2024-01-24 12:49:45,"85,08","16,6","5,11",198,"13,1","218,1",1005,1,0
