Consumo Médio de Combustível (km/l),Distância Percorrida (km),Preço do Combustível (R$/litro),Frequência de Abastecimentos por Semana,Custo_Total_Abastecimento,Fraude,Fraude_Numerica
7.3,235.49,5.18,6,167.1,Sim,0.6166664113246634
5.24,310.26,4.75,8,281.25,Sim,0.812665084977227
5.55,350.98,4.47,5,282.68,Sim,0.8735391335645144
6.5,263.38,5.14,6,208.27,Sim,0.6093569444532696
7.35,276.39,4.58,7,172.23,Sim,0.5299716504306542
5.47,346.36,4.1,5,259.61,Sim,0.5654868714970871
3.69,284.08,4.27,8,328.73,Sim,0.8029984836355127
8.77,356.41,5.73,6,232.87,Sim,0.9247232031128678
5.85,278.62,5.95,6,283.38,Sim,0.5224984106177122
4.63,215.43,5.34,8,248.47,Sim,0.8670756295208231
7.21,330.76,5.66,6,259.65,Sim,0.6706593229750261
6.16,296.86,4.67,7,225.05,Sim,0.7392641849597612
5.85,245.49,4.03,6,169.12,Sim,0.9644297749227828
5.3,360.05,4.5,6,305.7,Sim,0.6659857523679227
2.95,352.64,4.11,6,491.31,Sim,0.732668466969743
6.39,287.97,4.55,6,205.05,Sim,0.5068412073803406
4.41,332.11,5.78,7,435.28,Sim,0.5407993600024192
7.47,267.76,5.76,5,206.47,Sim,0.629295795567392
3.05,289.4,5.76,9,546.54,Sim,0.5139261204105372
4.6,272.89,4.89,6,290.09,Sim,0.8156876630241254
7.12,211.14,4.46,5,132.26,Sim,0.7131991784008113
5.38,259.67,5.01,8,241.81,Sim,0.774072601364011
3.48,282.62,5.01,8,406.88,Sim,0.5873235929481648
7.29,281.5,4.01,5,154.84,Sim,0.6479660147183081
3.48,271.02,5.91,6,460.27,Sim,0.8319122374263626
7.04,310.55,4.76,5,209.97,Sim,0.9826513618152
4.17,368.93,5.74,9,507.83,Sim,0.5252083868011046
6.51,212.88,5.49,9,179.53,Sim,0.945192160427633
1.95,382.36,4.4,7,862.76,Sim,0.7884406006556042
8.71,286.69,5.58,9,183.67,Sim,0.7819597833778118
3.76,228.9,4.6,8,280.04,Sim,0.7501392676038802
3.81,278.57,4.78,9,349.49,Sim,0.5346970429520916
3.96,234.53,4.61,5,273.03,Sim,0.5449384258680803
4.22,342.85,5.31,7,431.41,Sim,0.8004560028295431
7.35,239.5,5.01,8,163.25,Sim,0.6704792857177791
5.81,311.79,5.18,5,277.98,Sim,0.9586340332888404
6.39,347.24,4.55,6,247.25,Sim,0.7032952686797361
4.53,209.5,5.64,8,260.83,Sim,0.5716407293513206
5.68,212.04,4.87,7,181.8,Sim,0.857359416751018
5.91,325.65,4.66,7,256.77,Sim,0.6466767107205049
4.85,283.38,5.37,5,313.76,Sim,0.7627351536779465
9.09,356.95,4.25,5,166.89,Sim,0.848916392752585
4.21,317.53,4.12,6,310.74,Sim,0.9501320556010352
4.97,347.7,4.53,7,316.92,Sim,0.896095597400838
6.28,321.88,4.61,5,236.28,Sim,0.838180533936362
1.54,352.93,4.5,6,1031.29,Sim,0.8398165911975718
6.68,309.15,4.13,7,191.14,Sim,0.9729623220160432
5.1,257.48,5.78,5,291.81,Sim,0.647912048748268
2.92,282.56,4.1,5,396.75,Sim,0.5005560470980936
5.14,275.36,5.64,6,302.15,Sim,0.6359772796990993
4.58,212.58,4.04,9,187.52,Sim,0.608945689813372
3.81,268.63,5.87,9,413.87,Sim,0.8309172925569991
4.2,248.75,5.95,5,352.4,Sim,0.8168557998827646
4.27,333.66,4.09,5,319.59,Sim,0.796730691352362
5.36,193.64,4.64,8,167.63,Sim,0.5081217216047269
4.46,333.31,5.09,7,380.39,Sim,0.8643890272253237
4.93,271.5,5.31,6,292.43,Sim,0.6617652062427457
2.68,240.01,4.75,7,425.39,Sim,0.8325279945033155
0.83,335.2,4.98,7,2011.2,Sim,0.7782892142510767
8.15,302.88,4.63,7,172.07,Sim,0.6713654627139536
2.95,312.54,5.27,7,558.33,Sim,0.5672881335520539
5.82,282.74,4.02,9,195.29,Sim,0.5472094488302405
5.79,234.2,4.1,7,165.84,Sim,0.9157591665561118
5.99,306.1,5.89,5,300.99,Sim,0.959198771040779
2.53,282.44,4.12,6,459.94,Sim,0.8248940233821498
5.29,294.95,5.89,5,328.4,Sim,0.5517170574302417
3.45,324.5,5.62,7,528.61,Sim,0.7010136084441203
7.02,284.72,5.5,8,223.07,Sim,0.8644696000525787
7.43,359.44,4.55,5,220.11,Sim,0.8899104420050341
5.78,258.76,5.63,8,252.04,Sim,0.5591093111455443
5.22,292.09,5.5,8,307.76,Sim,0.5000153594226913
3.33,371.75,5.54,9,618.47,Sim,0.8560685229403024
3.45,359.92,4.36,9,454.86,Sim,0.6782980879931029
5.94,203.0,4.42,7,151.05,Sim,0.6272406658091301
5.51,273.46,5.46,8,270.98,Sim,0.5064487348947627
6.04,316.21,5.67,7,296.84,Sim,0.7701497033807498
4.47,301.65,4.43,9,298.95,Sim,0.9255753677129908
6.91,305.64,4.95,9,218.95,Sim,0.978815823136294
4.23,371.04,5.56,9,487.7,Sim,0.7828724753066446
7.42,327.57,5.18,8,228.68,Sim,0.7572306638699471
5.8,296.86,4.94,7,252.84,Sim,0.5425281927446206
5.97,234.13,5.3,8,207.85,Sim,0.7744364007712998
8.77,301.66,4.24,6,145.84,Sim,0.6899895394826974
4.24,323.97,5.97,9,456.16,Sim,0.8035676404417884
5.85,294.06,5.98,9,300.59,Sim,0.6943631739382734
5.6,233.52,4.11,7,171.39,Sim,0.6201495617251833
2.69,317.39,5.9,5,696.13,Sim,0.5474826376141883
4.36,332.72,5.29,6,403.69,Sim,0.6574592222944479
5.89,296.93,4.78,8,240.97,Sim,0.5483224171438761
6.31,329.08,5.74,8,299.35,Sim,0.588448475411992
3.45,386.89,4.73,6,530.43,Sim,0.993668079289773
6.85,287.23,5.21,9,218.46,Sim,0.7220517784533094
4.58,280.55,5.26,8,322.2,Sim,0.7659358832525083
3.7,299.57,5.58,9,451.78,Sim,0.9368092643686076
3.44,218.62,5.16,7,327.93,Sim,0.997784450245344
6.11,296.26,4.93,7,239.04,Sim,0.7913572246723408
7.13,239.94,5.66,6,190.47,Sim,0.9062369105220858
4.3,387.85,5.96,6,537.58,Sim,0.6634705121683376
5.2,340.65,5.78,6,378.65,Sim,0.6528719787236456
2.34,220.73,5.24,5,494.28,Sim,0.7013518604972802
6.53,303.05,5.1,8,236.69,Sim,0.8362536313368245
6.52,216.91,5.46,6,181.65,Sim,0.8410958446275494
1.34,338.37,4.72,8,1191.87,Sim,0.6576197173247254
7.31,287.09,4.97,9,195.19,Sim,0.5666049620683143
5.85,323.76,4.1,8,226.91,Sim,0.8161981282327543
6.19,259.63,4.72,8,197.97,Sim,0.5641629310943823
6.99,370.21,4.54,9,240.45,Sim,0.789246254114665
3.16,244.01,4.2,6,324.32,Sim,0.8467110640281545
6.14,251.66,5.7,5,233.63,Sim,0.8503057481972258
3.71,279.15,4.15,9,312.26,Sim,0.8767360553297984
4.62,315.1,4.07,9,277.59,Sim,0.9364297107828324
3.62,249.4,4.47,9,307.96,Sim,0.7499794959823942
4.0,260.99,4.76,7,310.58,Sim,0.8651245947647856
7.0,279.9,4.28,6,171.14,Sim,0.8095863676829184
2.34,339.36,5.56,7,806.34,Sim,0.5933199698988413
6.82,302.95,5.39,9,239.43,Sim,0.5128448224347041
6.84,284.8,4.49,5,186.95,Sim,0.6422706928384669
4.68,315.54,5.89,6,397.12,Sim,0.7215168531688096
7.37,297.33,5.88,6,237.22,Sim,0.8085529722143281
4.97,254.56,5.25,5,268.9,Sim,0.9249796652516028
4.22,317.05,4.96,9,372.65,Sim,0.5981228583530829
6.53,352.62,4.07,9,219.78,Sim,0.5627748949492386
5.84,283.28,4.97,7,241.08,Sim,0.9817399737371636
7.08,290.19,4.87,7,199.61,Sim,0.5540222796882035
7.54,192.97,4.0,8,102.37,Sim,0.7392455350535946
4.35,288.85,4.9,8,325.37,Sim,0.7927818643966509
4.15,228.64,5.52,9,304.12,Sim,0.7706872104537191
7.5,216.0,5.81,6,167.33,Sim,0.5430160785164716
3.36,339.58,4.4,7,444.69,Sim,0.5285134570018097
4.57,259.33,4.23,8,240.04,Sim,0.5527417137305178
7.67,183.7,4.09,6,97.96,Sim,0.7927938419363063
5.29,369.81,4.66,5,325.77,Sim,0.7721724438171605
3.73,253.58,4.22,6,286.89,Sim,0.6168703960183721
5.0,299.5,4.48,8,268.35,Sim,0.8188870709227958
5.5,179.33,4.97,9,162.05,Sim,0.9100337510278248
3.05,277.82,5.91,7,538.33,Sim,0.5207894799232968
4.89,213.57,4.03,8,176.01,Sim,0.7490649717740212
8.78,270.1,4.32,5,132.9,Sim,0.8446552060513451
5.18,364.97,5.57,6,392.45,Sim,0.6261559635348435
4.17,284.16,4.04,8,275.3,Sim,0.6538854526465745
4.0,311.83,4.45,9,346.91,Sim,0.806818951494692
7.08,312.61,4.08,8,180.15,Sim,0.9489676467218684
6.42,345.06,5.77,7,310.12,Sim,0.9049622101514496
6.51,307.08,4.8,5,226.42,Sim,0.7915651095497918
4.07,317.17,5.86,7,456.66,Sim,0.8651108588786246
5.12,257.18,4.85,8,243.62,Sim,0.6824112351038993
5.95,322.89,5.02,9,272.42,Sim,0.8204827640493788
3.22,312.02,4.15,9,402.14,Sim,0.7330907955637784
3.32,209.55,5.54,5,349.67,Sim,0.5949680682287805
6.47,378.77,4.1,6,240.02,Sim,0.8508691369386285
5.01,272.66,5.82,5,316.74,Sim,0.778232318674411
6.31,290.64,5.67,5,261.16,Sim,0.6793107909767957
6.75,276.26,5.93,8,242.7,Sim,0.9556695950393154
3.71,277.48,5.31,5,397.15,Sim,0.5104670589133666
7.33,351.11,5.15,5,246.69,Sim,0.6578865756247481
4.55,245.4,5.8,9,312.82,Sim,0.5284406988888233
5.43,335.72,4.38,8,270.8,Sim,0.8832636581108135
5.9,267.7,4.81,7,218.24,Sim,0.8510537270568963
5.61,270.82,5.04,8,243.3,Sim,0.6656761093681585
2.85,389.09,5.3,7,723.57,Sim,0.8378314511035365
3.12,329.37,4.97,6,524.67,Sim,0.697968613097975
2.26,355.15,4.64,7,729.16,Sim,0.8781268957112172
5.85,376.38,4.79,6,308.18,Sim,0.727091831368353
4.37,326.66,5.99,8,447.76,Sim,0.7061398639158327
6.55,289.5,4.23,7,186.96,Sim,0.9673649577441504
3.99,278.35,5.31,6,370.44,Sim,0.6254395499453501
8.98,323.66,4.29,6,154.62,Sim,0.5602236699982828
5.81,324.2,4.7,9,262.26,Sim,0.7922715566297291
3.07,308.35,5.91,9,593.6,Sim,0.9846609061420896
4.9,274.31,5.34,5,298.94,Sim,0.6889196068635933
6.41,286.59,5.2,7,232.49,Sim,0.5310183818143908
7.63,346.48,5.13,6,232.95,Sim,0.6696526336547837
4.62,279.69,5.4,6,326.91,Sim,0.7529658271597792
5.2,219.6,5.49,5,231.85,Sim,0.5809615033161069
4.16,303.17,4.97,9,362.2,Sim,0.829051109028246
5.34,324.84,5.13,8,312.07,Sim,0.9988746945051004
4.85,428.11,4.94,9,436.05,Sim,0.725869737990722
5.77,290.16,5.37,7,270.04,Sim,0.6773642783651064
2.7,318.2,4.34,7,511.48,Sim,0.7003520834172333
3.62,267.44,4.74,9,350.18,Sim,0.5575730891976005
4.35,287.77,5.78,6,382.37,Sim,0.941636800713112
6.79,364.1,5.85,5,313.69,Sim,0.7074128277606759
7.56,312.61,5.45,6,225.36,Sim,0.6936372057124207
4.46,408.3,4.71,8,431.19,Sim,0.8298451364652372
5.66,303.36,4.47,7,239.58,Sim,0.7210167104655618
5.31,221.92,4.45,8,185.98,Sim,0.8241167344039231
3.25,329.7,4.09,5,414.91,Sim,0.5307231450653938
7.84,223.95,5.86,6,167.39,Sim,0.9068616718611138
3.58,311.45,5.69,5,495.01,Sim,0.9702519764397012
6.61,334.88,5.8,8,293.84,Sim,0.8243826930796929
4.48,281.57,5.71,7,358.88,Sim,0.9772829644294054
3.06,313.7,5.07,7,519.76,Sim,0.5757161571849816
5.54,290.61,5.17,8,271.2,Sim,0.7387080947401768
5.54,288.42,5.68,8,295.71,Sim,0.8009033669727237
7.52,271.68,4.92,8,177.75,Sim,0.7908683237105933
5.99,332.52,4.52,8,250.92,Sim,0.7007308895445217
4.6,288.0,5.98,6,374.4,Sim,0.6690422046831307
5.77,249.59,5.2,6,224.93,Sim,0.5634120112752095
3.54,256.81,4.36,6,316.3,Sim,0.6958712252811391
5.02,382.34,4.52,8,344.26,Sim,0.5813304075527426
4.59,298.53,5.42,5,352.51,Sim,0.8671828382461092
6.13,328.24,4.68,8,250.6,Sim,0.604415467747295
4.67,328.18,4.92,8,345.75,Sim,0.5292826526422669
5.73,220.7,5.66,7,218.0,Sim,0.7761830689086171
6.47,297.81,4.83,7,222.32,Sim,0.7976148663597008
5.67,260.14,5.7,5,261.52,Sim,0.9359565306402527
4.31,312.59,4.83,9,350.3,Sim,0.7884908062088409
5.69,306.52,5.51,8,296.82,Sim,0.6727404268617229
4.03,250.99,4.4,9,274.03,Sim,0.9015059407631604
4.05,272.78,4.98,8,335.42,Sim,0.7701394465937106
4.06,314.76,4.31,7,334.14,Sim,0.5396401423155959
4.0,330.01,5.83,5,480.99,Sim,0.7829252801566233
5.07,266.81,5.55,7,292.07,Sim,0.9540092727108312
4.55,293.94,4.85,9,313.32,Sim,0.6981563127491103
6.1,350.28,5.16,7,296.3,Sim,0.6481629009499
5.72,231.72,5.34,7,216.33,Sim,0.57173472850901
6.34,295.15,4.94,6,229.97,Sim,0.5757227609676787
2.7,356.54,5.28,7,697.23,Sim,0.7163857421709094
4.39,194.74,4.81,6,213.37,Sim,0.7978399120807648
8.54,312.9,4.63,6,169.64,Sim,0.5403077025848009
1.92,257.61,4.49,7,602.43,Sim,0.9697842945125827
3.7,250.53,4.13,7,279.65,Sim,0.877566808722598
4.62,314.25,5.63,5,382.95,Sim,0.7933119591418314
4.02,229.67,5.55,9,317.08,Sim,0.9142193354694954
7.62,380.44,5.04,7,251.63,Sim,0.5400933784060566
4.25,309.92,4.29,6,312.84,Sim,0.7384194388665621
4.61,187.76,4.87,5,198.35,Sim,0.8150465634308317
6.63,256.02,5.68,5,219.34,Sim,0.9143264530591446
4.57,353.66,4.5,5,348.24,Sim,0.8917347800246338
4.49,291.22,4.91,8,318.46,Sim,0.6385346248566999
3.46,300.78,5.36,7,465.95,Sim,0.9704400847796022
4.48,317.39,4.92,8,348.56,Sim,0.5621729207154351
3.05,259.39,4.62,6,392.91,Sim,0.937566809310576
6.31,298.19,5.5,8,259.91,Sim,0.9854701248023092
7.27,242.81,4.49,9,149.96,Sim,0.5885767616113128
5.7,317.35,4.1,6,228.27,Sim,0.8610330321018926
1.47,351.94,5.54,7,1326.36,Sim,0.5201427593889992
3.94,310.93,5.1,8,402.47,Sim,0.7027114125695775
4.74,318.83,5.26,9,353.81,Sim,0.758141649598837
4.16,302.22,5.73,6,416.28,Sim,0.7903226129548171
4.75,231.05,5.4,6,262.67,Sim,0.9679686241242798
3.95,296.61,5.13,9,385.22,Sim,0.8361253436470973
4.24,285.5,5.13,9,345.43,Sim,0.7406389756096186
4.81,293.76,5.79,8,353.61,Sim,0.9048375181329448
2.83,401.54,4.73,9,671.13,Sim,0.9752664104772044
5.07,281.0,4.17,6,231.12,Sim,0.5110330743411454
3.78,299.17,5.08,6,402.06,Sim,0.9912606361280194
4.68,389.04,5.31,5,441.41,Sim,0.5430660695318401
7.15,393.23,5.42,8,298.08,Sim,0.9071933896343808
7.53,294.6,5.62,7,219.87,Sim,0.6401673762757063
5.6,320.14,5.31,7,303.56,Sim,0.5660898288769358
6.08,368.93,5.99,8,363.47,Sim,0.7199278198569175
5.95,271.19,5.15,9,234.73,Sim,0.8219782897238068
3.38,254.32,5.76,8,433.4,Sim,0.6904759225117375
3.2,281.42,4.97,8,437.08,Sim,0.5272827041413495
8.26,248.64,4.62,6,139.07,Sim,0.7997305698293583
5.78,212.02,5.94,7,217.89,Sim,0.9512016380553374
3.43,286.02,5.87,8,489.49,Sim,0.6916076829736258
5.06,302.2,5.26,8,314.14,Sim,0.6081663888154135
3.08,325.02,5.73,7,604.66,Sim,0.7212886729664076
4.2,348.13,4.05,5,335.7,Sim,0.5241813555243904
3.44,272.71,5.81,5,460.59,Sim,0.9102437922401374
5.27,304.83,4.16,6,240.62,Sim,0.9131704054750932
2.23,338.13,4.79,8,726.3,Sim,0.7940002317148143
5.74,290.47,4.61,6,233.29,Sim,0.6765514444691947
5.27,349.53,5.99,6,397.28,Sim,0.8998916822228917
7.25,292.94,4.28,8,172.94,Sim,0.7773435123941836
5.43,229.57,4.84,6,204.63,Sim,0.912966154275008
7.13,340.34,4.18,6,199.53,Sim,0.8157293962915103
5.31,342.37,5.3,7,341.73,Sim,0.8922027366063987
4.53,277.75,5.97,6,366.04,Sim,0.7992814966088799
5.75,313.59,5.3,7,289.05,Sim,0.7070705341078332
2.45,266.58,4.8,8,522.28,Sim,0.9789729299630688
6.08,298.39,5.52,7,270.91,Sim,0.7705569124394224
4.54,284.56,5.66,6,354.76,Sim,0.8025447592702692
5.16,198.26,5.85,9,224.77,Sim,0.6102438197073746
3.39,371.14,5.07,9,555.07,Sim,0.8128253947136382
6.76,278.04,5.58,8,229.51,Sim,0.7858038247414719
1.7,236.23,5.87,7,815.69,Sim,0.5924191989735125
3.32,257.69,5.87,5,455.61,Sim,0.5297935486765719
5.41,322.04,4.81,9,286.32,Sim,0.8021796598573856
6.3,372.67,5.83,9,344.87,Sim,0.8818461346751603
3.72,308.51,4.44,5,368.22,Sim,0.7617006854610041
4.28,270.15,4.09,5,258.16,Sim,0.6133863126598229
5.24,283.75,5.54,7,300.0,Sim,0.8332609883465174
4.35,331.35,5.74,9,437.23,Sim,0.5400528633048012
4.11,355.65,4.22,8,365.17,Sim,0.7209168524009772
4.35,249.66,4.67,8,268.03,Sim,0.5816833791992101
4.42,321.45,5.15,5,374.54,Sim,0.5922295255299417
4.49,397.28,5.15,8,455.68,Sim,0.6011469745791018
4.59,361.01,4.87,7,383.03,Sim,0.693353528521989
3.44,342.32,4.92,6,489.6,Sim,0.5255751028101988
6.71,316.45,4.65,7,219.3,Sim,0.6988967204645491
4.42,293.51,5.61,6,372.53,Sim,0.7558537235573504
5.98,258.93,5.58,5,241.61,Sim,0.7416471424831625
4.56,261.09,4.43,8,253.65,Sim,0.6913920502015203
4.88,329.39,5.31,6,358.41,Sim,0.9195733040353762
3.44,273.93,4.58,8,364.71,Sim,0.5726633462102521
6.12,273.25,5.02,9,224.14,Sim,0.752848371890687
1.4,355.87,5.54,6,1408.23,Sim,0.5310207084782772
7.05,315.41,5.59,5,250.09,Sim,0.5355778394389549
7.27,374.74,5.22,5,269.07,Sim,0.7869329248385482
5.61,286.49,4.07,6,207.85,Sim,0.7830092124439105
7.0,292.32,5.6,8,233.86,Sim,0.9390167564222284
4.79,317.69,5.27,9,349.53,Sim,0.7789368378300365
8.12,249.91,4.65,5,143.11,Sim,0.9798955102024252
7.05,306.1,4.91,6,213.18,Sim,0.5243474241999648
2.22,289.48,5.96,5,777.16,Sim,0.5490038423903705
6.2,300.76,5.13,5,248.85,Sim,0.5220329307851908
7.03,303.85,5.1,6,220.43,Sim,0.59263842516677
4.86,415.02,4.89,8,417.58,Sim,0.770635055470839
6.95,292.52,4.8,5,202.03,Sim,0.822786090713714
5.98,283.5,4.19,5,198.64,Sim,0.5227925789743344
5.01,327.53,4.04,9,264.12,Sim,0.9729854449227996
6.64,304.78,5.67,7,260.26,Sim,0.9210826883251906
4.24,251.52,4.46,9,264.57,Sim,0.6483062410785465
5.27,372.51,5.89,5,416.33,Sim,0.538593765113234
6.21,356.71,4.44,6,255.04,Sim,0.5849435366095286
4.81,339.71,5.3,5,374.32,Sim,0.5634722068774863
6.86,320.93,5.55,7,259.64,Sim,0.5616418896494735
5.61,267.59,5.71,6,272.36,Sim,0.7592808443328669
7.18,206.06,5.34,6,153.25,Sim,0.6229237212467001
4.31,364.24,4.75,6,401.42,Sim,0.6790698582645722
6.12,359.28,5.12,6,300.57,Sim,0.9947526666921612
6.7,307.55,4.13,6,189.58,Sim,0.8421571244626724
3.1,256.29,5.72,6,472.9,Sim,0.9744903335235008
5.67,293.67,5.88,5,304.55,Sim,0.5712782775165578
5.7,312.96,5.53,8,303.63,Sim,0.6910697374162846
3.4,364.25,5.54,5,593.51,Sim,0.7773659016411771
3.31,240.58,5.34,5,388.13,Sim,0.538379030944369
5.02,331.06,4.36,8,287.53,Sim,0.5020937218139789
5.29,391.69,4.11,6,304.32,Sim,0.8352171668984587
6.87,236.49,4.63,7,159.38,Sim,0.8209097584007177
3.55,293.27,4.83,6,399.01,Sim,0.7053944049998059
6.28,316.36,5.37,9,270.52,Sim,0.7448220380160163
3.86,263.54,5.47,6,373.46,Sim,0.7077215002960449
2.76,326.58,5.04,9,596.36,Sim,0.5120025224224445
6.45,306.06,4.41,9,209.26,Sim,0.6676858031087312
3.87,368.26,4.39,8,417.74,Sim,0.588541127698645
3.79,324.91,4.17,7,357.49,Sim,0.5492120945506844
2.76,336.88,5.27,9,643.25,Sim,0.9783602169446748
5.65,173.29,4.54,8,139.25,Sim,0.7996798625210828
3.21,272.81,5.5,8,467.43,Sim,0.8643281421183013
6.97,271.63,4.85,9,189.01,Sim,0.6576818716330588
5.81,316.38,5.26,8,286.43,Sim,0.6965735647470076
6.08,280.52,4.28,5,197.47,Sim,0.6184619969483618
4.07,334.3,4.67,8,383.58,Sim,0.5484828354827124
6.12,203.41,5.98,5,198.76,Sim,0.5895158187207918
5.49,303.62,5.75,8,318.0,Sim,0.8987570226482429
4.49,289.75,5.83,7,376.22,Sim,0.838772902591888
4.78,308.16,5.74,8,370.05,Sim,0.7734644379927385
2.41,372.11,4.07,7,628.42,Sim,0.737544936433384
3.91,336.29,5.84,7,502.28,Sim,0.9612171418280622
2.19,367.78,4.15,5,696.93,Sim,0.5363674738893343
7.99,227.6,5.7,5,162.37,Sim,0.6403004066189579
4.82,369.4,5.05,7,387.03,Sim,0.674968926785357
6.21,306.92,4.05,6,200.17,Sim,0.8912129061063939
8.25,265.08,4.56,5,146.52,Sim,0.9962573100809856
4.46,342.45,5.97,5,458.39,Sim,0.6203352573785765
3.49,254.32,5.05,5,368.0,Sim,0.9371536670685404
4.26,371.57,4.1,6,357.61,Sim,0.9153113802158956
1.7,208.34,5.53,6,677.72,Sim,0.6123286988208834
4.68,291.12,5.94,5,369.5,Sim,0.6996662900996113
5.44,237.91,4.01,9,175.37,Sim,0.7048364346462596
5.88,339.21,5.34,7,308.06,Sim,0.9891103342632792
5.45,275.7,5.74,9,290.37,Sim,0.5904459506894492
